Award Date,Grant Number,Proposal Number,Grant Title,State Name,Grantee Name,Award Dollars,Program Name,Program Area Name
2012-08-24,2012-41310-01200,2012-03879,2012 State of Idaho Cooperative Extension Programs FERS Retirement Contributions Program,IDAHO,UNIVERSITY OF IDAHO,34578,FERS Contributions Program,Other Programs
2012-12-17,2011-68002-30191,2012-04180,PNW Regional Approaches to Climate Change,IDAHO,SAES - UNIVERSITY OF IDAHO,4000000,Climate Change:  Regional Approaches to Climate Change,Agriculture and Food Research Initiative
2013-09-25,2013-68003-21279,2012-04292,Food Safety Education And Behavioral Changes Among Deaf And Hard-Of-Hearing Population: A Model Study,IDAHO,SAES - UNIVERSITY OF IDAHO,424926,Improving the Safety of Fresh and Fresh Cut Produce,Agriculture and Food Research Initiative
2013-05-30,2011-67005-20676,2012-04473,Risk asessment and intervention strategies for the emerging food safety threat of ochratoxin in the United States,IDAHO,SAES - UNIVERSITY OF IDAHO,1117684,Food Safety:  Addressing Critical and Emerging Food Safety Issues,Agriculture and Food Research Initiative
2013-06-24,2013-41580-20799,2013-01460,Federally Registered Tribes Extension Program (FRTEP) Coeur d`Alene Reservation Project,IDAHO,SAES - UNIVERSITY OF IDAHO,73500,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2013-06-25,2013-41580-20800,2013-01475,USDA-NIFA Fort Hall Agricultural Extension Program,IDAHO,SAES - UNIVERSITY OF IDAHO,84554,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2013-06-20,2013-41580-20801,2013-01476,Federally Recognized Tribes Extension Program (FRTEP) Nez Perce Reservation,IDAHO,SAES - UNIVERSITY OF IDAHO,74000,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2013-06-20,2010-41520-20724,2013-01503,The project focuses on providing 4-H Afterschool outreach to rural or isolated at-risk communities,IDAHO,SAES - UNIVERSITY OF IDAHO,120000,Youth at Risk,"Smith-Lever 3B, 3C, and 3D Programs"
2013-09-12,2013-67013-21349,2013-02349,Defining relevant Russian olive control through facilitated researcher-stakeholder dialogue,IDAHO,SAES - UNIVERSITY OF IDAHO,50000,Plant Health and Production and Plant Products: Controlling Weedy and Invasive Plants,Agriculture and Food Research Initiative
2013-09-11,2013-67019-21375,2013-02791,"Chemicals of Emerging Concern in the Eastern Snake River Plain of Idaho:  A Threat to Irrigated Agriculture, Dairy, and Aquaculture?",IDAHO,SAES - UNIVERSITY OF IDAHO,499454,Foundational Program:  Soil Health,Agriculture and Food Research Initiative
2013-09-19,2013-67020-21352,2013-02816,Seed Grant To Determine Molecular Speciation Of Phosphorus In Soils From A Long-Term Dairy Manure Amendment Trial In Idaho,IDAHO,SAES - UNIVERSITY OF IDAHO,149500,Foundational Program:  Soil Health,Agriculture and Food Research Initiative
2013-09-03,2013-67012-21146,2013-03436,The Secondary Impact of Anthropogenic NOx Emissions on the Aspen Forest Productivity,IDAHO,FRST - UNIVERSITY OF IDAHO-FORESTRY SCHOOL,147732,AFRI Post Doctoral Fellowships,Agriculture and Food Research Initiative
2013-09-20,2013-41534-21508,2013-04132,"Coordination of Extension IPM Programs for Communities, Specialty Crops and Pesticide Applicators in Idaho",IDAHO,SAES - UNIVERSITY OF IDAHO,107000,Extension Integrated Pest Management - Coordination,"Smith-Lever 3B, 3C, and 3D Programs"
2013-09-09,2013-51102-21015,2013-04495,Trap Crop and Biological Control Agents to Replace Methyl Bromide for Eradication of Globodera pallida,IDAHO,SAES - UNIVERSITY OF IDAHO,436530,Methyl Bromide Transitions Program,"Integrated Res., Educ.,  & Ext. Competitive Grants Program"
2013-07-11,2013-41510-01200,2013-04597,FFY13 State of Idaho Expanded Food and Nutrition Education Formula Program,IDAHO,UNIVERSITY OF IDAHO,364501,Expanded Food and Nutrition Education Formula Program,"Smith-Lever 3B, 3C, and 3D Programs"
2013-07-30,2013-31200-06016,2013-04647,2013 State of Idaho Multi-State Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,721838,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2013-07-10,2013-41100-01200,2013-04726,2013 State of Idaho Cooperative Extension Program Smith Lever 3 (b) and (c) Cooperative Extension Programs at 1862 Land-Grant Institution,IDAHO,UNIVERSITY OF IDAHO,2505561,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2014-03-26,2014-68006-21866,2013-04787,Serving Local and Regional Markets in the Intermountain West: Identifying and Overcoming Constraints in a Vast Geography,IDAHO,UNIVERSITY OF IDAHO,500000,Agriculture Economics and Rural Communities: Small and Medium-Sized Farms,Agriculture and Food Research Initiative
2013-07-25,2013-46000-01200,2013-04897,2013 State of Idaho Renewable Resource Extension Act - RREA,IDAHO,UNIVERSITY OF IDAHO,50324,Renewable Resources Extension Act,Other Programs
2013-08-05,2013-31100-06016,2013-05066,2013 State of Idaho Regular Research Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,1747425,Hatch Act of 1887,Hatch Formula Programs
2013-09-19,2013-38624-21400,2013-05092,Canola Research Program Pacific Northwest - FY2013,IDAHO,SAES - UNIVERSITY OF IDAHO,175646,Supplemental and Alternative Crops,Other Programs
2013-08-16,2013-32100-06016,2013-05404,2013 McIntire-Stennis Funding,IDAHO,UNIVERSITY OF IDAHO,575994,McIntire-Stennis Cooperative Forestry Research,McIntire-Stennis Cooperative Forestry Research
2013-09-04,2013-41200-01200,2013-05489,2013 State of Idaho Special Needs Cooperative Extension Programs at 1862 Land-grant Institutions,IDAHO,UNIVERSITY OF IDAHO,74412,Cooperative Extension Programs at 1862 Land-Grant Institutions (Special Needs),"Smith-Lever 3B, 3C, and 3D Programs"
2013-09-12,2013-41310-01200,2013-05576,2013 State of Idaho FERS Retirement Contributions Program,IDAHO,UNIVERSITY OF IDAHO,30073,FERS Contributions Program,Other Programs
2013-08-29,2013-36100-06016,2013-05837,Animal Health and Disease Program (AHD) for the Idaho Agricultural Experiment Station (IAES),IDAHO,UNIVERSITY OF IDAHO,46097,Animal Health and Disease Research Program,Animal Health Formula Program
2014-01-08,2011-68002-30191,2013-07110,PNW Regional Approaches to Climate Change,IDAHO,SAES - UNIVERSITY OF IDAHO,4000000,Climate Change:  Regional Approaches to Climate Change,Agriculture and Food Research Initiative
2014-06-12,2014-31100-06016,2014-01812,2014 State of Idaho Regular Research Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,1947915,Hatch Act of 1887,Hatch Formula Programs
2014-05-13,2010-41520-20724,2014-02462,Idaho 4-H Afterschool Outreach to At-Risk Communities,IDAHO,SAES - UNIVERSITY OF IDAHO,145000,Youth at Risk,"Smith-Lever 3B, 3C, and 3D Programs"
2014-05-16,2014-31200-06016,2014-02506,2014 State of Idaho Multi-State Projects The Hatch Act of 1887,IDAHO,UNIVERSITY OF IDAHO,815716,Hatch Act of 1887(Multistate Research Fund),Hatch Formula Programs
2014-07-09,2014-41100-01200,2014-02524,2014 State of Idaho Cooperative Extension Programs 1862 Land Grant Institution,IDAHO,UNIVERSITY OF IDAHO,2832852,Cooperative Extension Programs at 1862 Land-Grant Institutions,"Smith-Lever 3B, 3C, and 3D Programs"
2014-09-14,2014-67014-22408,2014-04308,Identification of zebra chip resistant and tolerant potato cultivars for the U.S.,IDAHO,SAES - UNIVERSITY OF IDAHO,485613,Plant Health and Production and Plant Products:  Plant Breeding for Agricultural Production,Agriculture and Food Research Initiative
2015-03-10,2015-67016-23307,2014-05003,Conference Grant for XVII International Symposium on Feeding and Nutrition of Fish,IDAHO,UNIVERSITY OF IDAHO,24316,"Animal Health and Production and Animal Products: Improved Nutritional Performance, Growth, and Lactation of Animals",Agriculture and Food Research Initiative
2015-01-15,2015-68006-22840,2014-05615,"Rural Wealth, Inequality, and Community Economic Resilience: Engaging Rural Communities in an Era of Economic Restructuring",IDAHO,SAES - UNIVERSITY OF IDAHO,498932,Agriculture Economics and Rural Communities: Rural Development,Agriculture and Food Research Initiative
2014-07-12,2014-46000-01200,2014-05647,2014 State of Idaho Renewable Resources Extension Act Program (RREA),IDAHO,UNIVERSITY OF IDAHO,53805,Renewable Resources Extension Act,Other Programs
2015-01-16,2015-67018-23069,2014-06074,The Role Of Saliva In Food Texture Perception: Rheological And Tribological Approaches,IDAHO,SAES - UNIVERSITY OF IDAHO,245884,Improving Food Quality,Agriculture and Food Research Initiative
2014-07-22,2013-41580-20799,2014-06207,Federally Registered Tribes Extension Program (FRTEP) Coeur d`Alene Reservation Project,IDAHO,SAES - UNIVERSITY OF IDAHO,78900,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
2014-07-10,2013-41580-20801,2014-06471,Federally Recognized Tribes Extension Program (FRTEP) Nez Perce Reservation,IDAHO,SAES - UNIVERSITY OF IDAHO,79400,EIRP Indian Reservation Program,"Smith-Lever 3B, 3C, and 3D Programs"
